Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,12806.070313,13135.969727,12800.660156,13107.099609,13107.099609,136091200
2018-06-15,13115.849609,13170.049805,13010.540039,13010.549805,13010.549805,257670500
2018-06-18,12945.530273,12982.919922,12784.480469,12834.110352,12834.110352,89102600
2018-06-19,12647.070313,12708.709961,12594.509766,12677.969727,12677.969727,102502200
2018-06-20,12731.660156,12760.200195,12670.780273,12695.160156,12695.160156,89617400
2018-06-21,12699.709961,12719.450195,12472.980469,12511.910156,12511.910156,111154800
2018-06-22,12507.719727,12579.719727,12486.259766,12579.719727,12579.719727,83725600
2018-06-25,12497.480469,12518.889648,12270.330078,12270.330078,12270.330078,98566500
2018-06-26,12333.440430,12355.860352,12188.500000,12234.339844,12234.339844,62457100
2018-06-27,12247.750000,12439.910156,12124.870117,12348.610352,12348.610352,127889100
2018-06-28,12289.809570,12375.370117,12104.410156,12177.230469,12177.230469,107207500
2018-06-29,12322.639648,12382.870117,12260.910156,12306.000000,12306.000000,114043400
2018-07-02,12147.940430,12301.929688,12132.719727,12238.169922,12238.169922,93436600
2018-07-03,12321.070313,12428.139648,12278.389648,12349.139648,12349.139648,93526400
2018-07-04,12323.750000,12350.679688,12284.559570,12317.610352,12317.610352,78417600
2018-07-05,12363.049805,12516.509766,12361.860352,12464.290039,12464.290039,114460400
2018-07-06,12506.269531,12508.080078,12426.400391,12496.169922,12496.169922,0
2018-07-09,12541.740234,12559.969727,12490.400391,12543.889648,12543.889648,74724300
2018-07-10,12580.309570,12639.790039,12530.709961,12609.849609,12609.849609,81853500
2018-07-11,12506.990234,12514.750000,12398.469727,12417.129883,12417.129883,84350300
2018-07-12,12464.059570,12505.200195,12408.629883,12492.969727,12492.969727,72314800
2018-07-13,12549.230469,12583.790039,12499.299805,12540.730469,12540.730469,0
